id,recipe_name,ingredients,dietary_tags,meal_type,cuisine_type,instructions,allergens,id
456,Vegetarian Chili,"Ground beef, Lettuce, Tomatoes, Cheddar, Tortilla chips","vegan, low-carb",lunch,Mediterranean,"Garnish with herbs, nuts, or seeds for extra flavor. In a bowl, mix the chopped vegetables with chickpeas, olive oil, lemon juice, salt, and pepper. Cook the quinoa according to package instructions and let it cool. Layer the ingredients in a bowl or plate and drizzle with dressing. Chop all vegetables into small pieces. Season the chicken with salt, pepper, and olive oil, then grill it for 10-12 minutes per side.",Eggs,456
457,Beef Stir Fry,"Lentils, Carrots, Celery, Garlic, Vegetable broth","dairy-free, gluten-free, vegan",lunch,American,"Cook the quinoa according to package instructions and let it cool. Season the chicken with salt, pepper, and olive oil, then grill it for 10-12 minutes per side. Blend the ingredients for the dressing until smooth. Roast the vegetables in the oven for 20-25 minutes.",Dairy,457
458,Gluten-Free Pancakes,"Lentils, Bell peppers, Onions, Garlic, Tomato sauce, Chili powder",vegetarian,snack,Indian,"Season the chicken with salt, pepper, and olive oil, then grill it for 10-12 minutes per side. Serve immediately or store in the refrigerator for later. Chop all vegetables into small pieces. Cook the quinoa according to package instructions and let it cool. In a skillet, sauté onions and garlic until golden. Roast the vegetables in the oven for 20-25 minutes.",Peanuts,458
459,Taco Salad,"Beef strips, Bell peppers, Soy sauce, Garlic, Olive oil","keto-friendly, high-protein, paleo",lunch,American,"Cook the quinoa according to package instructions and let it cool. Roast the vegetables in the oven for 20-25 minutes. Garnish with herbs, nuts, or seeds for extra flavor. Layer the ingredients in a bowl or plate and drizzle with dressing.",,459
460,Taco Salad,"Shrimp, Fettuccine, Garlic, Butter, Parmesan",low-carb,snack,American,"Season the chicken with salt, pepper, and olive oil, then grill it for 10-12 minutes per side. In a skillet, sauté onions and garlic until golden. Chop all vegetables into small pieces. Serve immediately or store in the refrigerator for later. In a bowl, mix the chopped vegetables with chickpeas, olive oil, lemon juice, salt, and pepper.",Eggs,460
461,Vegetarian Chili,"Lentils, Carrots, Celery, Garlic, Vegetable broth","gluten-free, paleo, keto-friendly",lunch,Indian,"Season the chicken with salt, pepper, and olive oil, then grill it for 10-12 minutes per side. Roast the vegetables in the oven for 20-25 minutes. Chop all vegetables into small pieces. In a bowl, mix the chopped vegetables with chickpeas, olive oil, lemon juice, salt, and pepper. Layer the ingredients in a bowl or plate and drizzle with dressing.",,461
462,Chicken Caesar Salad,"Chicken breast, Romaine lettuce, Caesar dressing, Parmesan, Croutons","gluten-free, paleo, vegetarian",breakfast,Italian,"Roast the vegetables in the oven for 20-25 minutes. Garnish with herbs, nuts, or seeds for extra flavor. Cook the quinoa according to package instructions and let it cool. In a bowl, mix the chopped vegetables with chickpeas, olive oil, lemon juice, salt, and pepper.",Peanuts,462
463,Lentil Soup,"Lentils, Bell peppers, Onions, Garlic, Tomato sauce, Chili powder","high-protein, paleo",dinner,American,"Garnish with herbs, nuts, or seeds for extra flavor. Chop all vegetables into small pieces. Roast the vegetables in the oven for 20-25 minutes. Layer the ingredients in a bowl or plate and drizzle with dressing. Season the chicken with salt, pepper, and olive oil, then grill it for 10-12 minutes per side.",Eggs,463
464,Avocado Toast,"Ground beef, Lettuce, Tomatoes, Cheddar, Tortilla chips",paleo,lunch,Mediterranean,"Chop all vegetables into small pieces. Season the chicken with salt, pepper, and olive oil, then grill it for 10-12 minutes per side. Cook the quinoa according to package instructions and let it cool. In a skillet, sauté onions and garlic until golden. Roast the vegetables in the oven for 20-25 minutes. Layer the ingredients in a bowl or plate and drizzle with dressing.",Peanuts,464
465,Beef Stir Fry,"Lentils, Carrots, Celery, Garlic, Vegetable broth","vegetarian, gluten-free, dairy-free",breakfast,Mediterranean,Blend the ingredients for the dressing until smooth. Roast the vegetables in the oven for 20-25 minutes. Cook the quinoa according to package instructions and let it cool. Layer the ingredients in a bowl or plate and drizzle with dressing.,Eggs,465
466,Lentil Soup,"Chicken breast, Romaine lettuce, Caesar dressing, Parmesan, Croutons","high-protein, vegan, paleo",breakfast,Indian,"Chop all vegetables into small pieces. In a bowl, mix the chopped vegetables with chickpeas, olive oil, lemon juice, salt, and pepper. Roast the vegetables in the oven for 20-25 minutes. Cook the quinoa according to package instructions and let it cool. In a skillet, sauté onions and garlic until golden. Blend the ingredients for the dressing until smooth.",,466
467,Shrimp Pasta,"Whole grain bread, Avocado, Cherry tomatoes, Olive oil","vegetarian, gluten-free, low-carb",breakfast,Indian,"Season the chicken with salt, pepper, and olive oil, then grill it for 10-12 minutes per side. In a skillet, sauté onions and garlic until golden. Blend the ingredients for the dressing until smooth. Cook the quinoa according to package instructions and let it cool. Layer the ingredients in a bowl or plate and drizzle with dressing. Roast the vegetables in the oven for 20-25 minutes.",Dairy,467
468,Beef Stir Fry,"Whole grain bread, Avocado, Cherry tomatoes, Olive oil","dairy-free, vegetarian, gluten-free",breakfast,Asian,"Serve immediately or store in the refrigerator for later. Layer the ingredients in a bowl or plate and drizzle with dressing. In a bowl, mix the chopped vegetables with chickpeas, olive oil, lemon juice, salt, and pepper. Season the chicken with salt, pepper, and olive oil, then grill it for 10-12 minutes per side.",Gluten,468
469,Beef Stir Fry,"Banana, Whey protein, Almond milk, Peanut butter","vegetarian, vegan, low-carb",snack,Asian,"Serve immediately or store in the refrigerator for later. Garnish with herbs, nuts, or seeds for extra flavor. In a skillet, sauté onions and garlic until golden. Blend the ingredients for the dressing until smooth. In a bowl, mix the chopped vegetables with chickpeas, olive oil, lemon juice, salt, and pepper. Roast the vegetables in the oven for 20-25 minutes.",,469
470,Taco Salad,"Quinoa, Chickpeas, Spinach, Avocado, Hummus, Lemon","paleo, vegetarian",snack,Italian,"Garnish with herbs, nuts, or seeds for extra flavor. Serve immediately or store in the refrigerator for later. Chop all vegetables into small pieces. Blend the ingredients for the dressing until smooth. Season the chicken with salt, pepper, and olive oil, then grill it for 10-12 minutes per side.",Peanuts,470
471,Taco Salad,"Lentils, Carrots, Celery, Garlic, Vegetable broth","vegan, vegetarian, paleo",dinner,Indian,"Layer the ingredients in a bowl or plate and drizzle with dressing. Blend the ingredients for the dressing until smooth. Serve immediately or store in the refrigerator for later. In a bowl, mix the chopped vegetables with chickpeas, olive oil, lemon juice, salt, and pepper.",Peanuts,471
472,Taco Salad,"Beef strips, Bell peppers, Soy sauce, Garlic, Olive oil","gluten-free, paleo",snack,Mediterranean,"In a bowl, mix the chopped vegetables with chickpeas, olive oil, lemon juice, salt, and pepper. Garnish with herbs, nuts, or seeds for extra flavor. Blend the ingredients for the dressing until smooth. Serve immediately or store in the refrigerator for later. Chop all vegetables into small pieces.",,472
473,Vegan Buddha Bowl,"Lentils, Bell peppers, Onions, Garlic, Tomato sauce, Chili powder",vegetarian,dinner,American,"Layer the ingredients in a bowl or plate and drizzle with dressing. In a skillet, sauté onions and garlic until golden. Cook the quinoa according to package instructions and let it cool. Roast the vegetables in the oven for 20-25 minutes.",Peanuts,473
474,Vegan Buddha Bowl,"Gluten-free flour, Almond milk, Eggs, Baking powder, Maple syrup",high-protein,lunch,American,"Chop all vegetables into small pieces. In a skillet, sauté onions and garlic until golden. Garnish with herbs, nuts, or seeds for extra flavor. Season the chicken with salt, pepper, and olive oil, then grill it for 10-12 minutes per side. Layer the ingredients in a bowl or plate and drizzle with dressing.",,474
475,Vegan Buddha Bowl,"Chicken breast, Romaine lettuce, Caesar dressing, Parmesan, Croutons","vegan, low-carb",breakfast,Asian,"Blend the ingredients for the dressing until smooth. Cook the quinoa according to package instructions and let it cool. Season the chicken with salt, pepper, and olive oil, then grill it for 10-12 minutes per side. Roast the vegetables in the oven for 20-25 minutes.",Eggs,475
476,Taco Salad,"Lentils, Bell peppers, Onions, Garlic, Tomato sauce, Chili powder","low-carb, high-protein",breakfast,Italian,"Serve immediately or store in the refrigerator for later. Blend the ingredients for the dressing until smooth. Roast the vegetables in the oven for 20-25 minutes. In a bowl, mix the chopped vegetables with chickpeas, olive oil, lemon juice, salt, and pepper. Layer the ingredients in a bowl or plate and drizzle with dressing. Chop all vegetables into small pieces.",Peanuts,476
477,Avocado Toast,"Whole grain bread, Avocado, Cherry tomatoes, Olive oil","paleo, low-carb, vegetarian",breakfast,Asian,"Blend the ingredients for the dressing until smooth. Garnish with herbs, nuts, or seeds for extra flavor. In a skillet, sauté onions and garlic until golden. In a bowl, mix the chopped vegetables with chickpeas, olive oil, lemon juice, salt, and pepper. Season the chicken with salt, pepper, and olive oil, then grill it for 10-12 minutes per side. Cook the quinoa according to package instructions and let it cool.",Peanuts,477
478,Protein Smoothie,"Ground beef, Lettuce, Tomatoes, Cheddar, Tortilla chips",paleo,breakfast,Asian,"Serve immediately or store in the refrigerator for later. Roast the vegetables in the oven for 20-25 minutes. Cook the quinoa according to package instructions and let it cool. In a skillet, sauté onions and garlic until golden.",Gluten,478
479,Taco Salad,"Beef strips, Bell peppers, Soy sauce, Garlic, Olive oil","low-carb, vegan",breakfast,Asian,"In a skillet, sauté onions and garlic until golden. Blend the ingredients for the dressing until smooth. Serve immediately or store in the refrigerator for later. Garnish with herbs, nuts, or seeds for extra flavor. Roast the vegetables in the oven for 20-25 minutes. Cook the quinoa according to package instructions and let it cool.",,479
480,Vegan Buddha Bowl,"Banana, Whey protein, Almond milk, Peanut butter",vegetarian,breakfast,Indian,"Roast the vegetables in the oven for 20-25 minutes. Blend the ingredients for the dressing until smooth. Chop all vegetables into small pieces. Garnish with herbs, nuts, or seeds for extra flavor.",Eggs,480
481,Shrimp Pasta,"Chicken breast, Romaine lettuce, Caesar dressing, Parmesan, Croutons","paleo, high-protein",snack,American,Serve immediately or store in the refrigerator for later. Cook the quinoa according to package instructions and let it cool. Blend the ingredients for the dressing until smooth. Layer the ingredients in a bowl or plate and drizzle with dressing.,Eggs,481
482,Shrimp Pasta,"Quinoa, Chickpeas, Spinach, Avocado, Hummus, Lemon",low-carb,dinner,American,"Serve immediately or store in the refrigerator for later. In a bowl, mix the chopped vegetables with chickpeas, olive oil, lemon juice, salt, and pepper. Roast the vegetables in the oven for 20-25 minutes. Season the chicken with salt, pepper, and olive oil, then grill it for 10-12 minutes per side.",Gluten,482
483,Lentil Soup,"Gluten-free flour, Almond milk, Eggs, Baking powder, Maple syrup","low-carb, dairy-free",breakfast,Italian,"In a skillet, sauté onions and garlic until golden. In a bowl, mix the chopped vegetables with chickpeas, olive oil, lemon juice, salt, and pepper. Serve immediately or store in the refrigerator for later. Roast the vegetables in the oven for 20-25 minutes. Garnish with herbs, nuts, or seeds for extra flavor. Blend the ingredients for the dressing until smooth.",Gluten,483
484,Chicken Caesar Salad,"Whole grain bread, Avocado, Cherry tomatoes, Olive oil","gluten-free, paleo, dairy-free",breakfast,Mexican,"Season the chicken with salt, pepper, and olive oil, then grill it for 10-12 minutes per side. In a bowl, mix the chopped vegetables with chickpeas, olive oil, lemon juice, salt, and pepper. Serve immediately or store in the refrigerator for later. Chop all vegetables into small pieces. Roast the vegetables in the oven for 20-25 minutes.",Eggs,484
485,Vegan Buddha Bowl,"Lentils, Bell peppers, Onions, Garlic, Tomato sauce, Chili powder","high-protein, gluten-free",dinner,American,"Season the chicken with salt, pepper, and olive oil, then grill it for 10-12 minutes per side. Cook the quinoa according to package instructions and let it cool. Chop all vegetables into small pieces. Roast the vegetables in the oven for 20-25 minutes.",Peanuts,485
